,tag,title,summary,rating,make_again,link
0,recipe,Spicy Lightly Pickled Cucumbers,"These quick pickles have just the right amount of sweet, salt, and tang going on. The brine can work with any crunchy veg, but we like them best with cucumbers. We guarantee they'll be the sleeper hit of your next party spread.",4,100%,https://www.epicurious.com//recipes/food/views/spicy-lightly-pickled-cucumbers
1,recipe,Cucumbers with Ajo Blanco Sauce,"Think of this as an all-purpose garlic sauce. Once you get the hang of making it, try swapping cashews or blanched hazelnuts for the almonds.",4,100%,https://www.epicurious.com//recipes/food/views/cucumbers-with-ajo-blanco-sauce
2,recipe,Cold Beef Tenderloin with Tomatoes and Cucumbers,"Beef tenderloin is precious enough to baby on a two-zone grill: Sear it over high heat, then transfer it to the cooler side and turn it often to hit a perfect medium-rare.",2,0%,https://www.epicurious.com//recipes/food/views/cold-beef-tenderloin-with-tomatoes-and-cucumbers
3,recipe,Fried Fish Sandwiches with Cucumbers and Tartar Sauce,"Take your cast-iron pan to the grill for this classically flavored crispy fish sandwich recipe (or, if you don’t have a grill, fire up the stove—the breeze won’t be the same, but the sandwich will still be delicious).",3,100%,https://www.epicurious.com//recipes/food/views/fried-fish-sandwiches-with-cucumbers-and-tartar-sauce
4,recipe,Grain Salad with Tomatoes and Cucumbers,We call for semi-pearled grains because they cook more quickly and have a roughened-up texture that helps them soak up the dressing. Browning them first deepens their flavor.,3,100%,https://www.epicurious.com//recipes/food/views/farro-spelt-grain-salad-with-tomatoes-and-cucumbers
5,recipe,Charred Cabbage with Goat Cheese Raita and Cucumbers,Go hard when charring the cabbage wedges—to the point you might think you did something wrong. They are dense and resilient and need a long time on the grill to soften.,2,0%,https://www.epicurious.com//recipes/food/views/grilled-charred-cabbage-with-goat-cheese-raita-and-cucumbers
6,recipe,Cucumber-Seaweed Salad,A ginger and coconut aminos dressing brings together this healthful salad of crunchy cucumbers and toothsome seaweed.,0,0%,https://www.epicurious.com//recipes/food/views/cucumber-seaweed-salad
7,recipe,Pineapple Shrimp Noodle Bowls,Quickly caramelized pineapple and sautéed shrimp are tossed in a sweet and sour sauce with lots of fresh basil and spooned over rice noodles for a quick dinner that beats takeout any day.,3.5,73%,https://www.epicurious.com//recipes/food/views/pineapple-shrimp-noodle-bowls
8,recipe,Sambal Shrimp Lettuce Wraps,"The shrimp cooks in minutes, so while it’s marinating,  set out a platter of lettuce cups, mint sprigs, chopped peanuts, sliced cucumbers, and the reserved sauce.",3.5,50%,https://www.epicurious.com//recipes/food/views/sambal-shrimp-lettuce-wraps
9,recipe,Smashed Cucumber Salad with Lemon and Celery Salt,"If you have ever peeled, seeded, and sliced cucumbers for salads, this recipe will hopefully change your mind. Smashing the cucumbers augments the vegetable's ability to absorb seasonings.",0,0%,https://www.epicurious.com//recipes/food/views/smashed-cucumber-salad-with-lemon-and-celery-salt
