,rank,title,author,score,vote,rating
0,1,The Handmaid's Tale,Margaret Atwood,"score: 30,733",314 people voted," 4.09 avg rating — 1,102,637 ratings"
1,2,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"score: 28,553",292 people voted," 4.33 avg rating — 5,742,248 ratings"
2,3,Frankenstein,Mary Wollstonecraft Shelley,"score: 21,909",224 people voted," 3.78 avg rating — 1,023,526 ratings"
3,4,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"score: 18,720",196 people voted," 4.01 avg rating — 903,450 ratings"
4,5,The Left Hand of Darkness (Hainish Cycle #4),Ursula K. Le Guin,"score: 17,920",184 people voted," 4.06 avg rating — 98,806 ratings"
5,6,"Divergent (Divergent, #1)",Veronica Roth,"score: 13,326",138 people voted," 4.21 avg rating — 2,602,947 ratings"
6,7,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"score: 12,749",133 people voted," 4.29 avg rating — 2,200,826 ratings"
7,8,"The Giver (The Giver, #1)",Lois Lowry,"score: 12,399",129 people voted," 4.12 avg rating — 1,535,252 ratings"
8,9,Kindred,Octavia E. Butler,"score: 11,070",116 people voted," 4.23 avg rating — 72,352 ratings"
9,10,The Dispossessed (Hainish Cycle #6),Ursula K. Le Guin,"score: 10,731",112 people voted," 4.21 avg rating — 71,650 ratings"
10,11,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,"score: 10,117",107 people voted," 4.01 avg rating — 197,813 ratings"
11,12,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"score: 9,807",104 people voted," 4.03 avg rating — 2,072,072 ratings"
12,13,The Time Traveler's Wife,Audrey Niffenegger,"score: 9,193",98 people voted," 3.96 avg rating — 1,446,796 ratings"
13,14,"Doomsday Book (Oxford Time Travel, #1)",Connie Willis,"score: 8,935",96 people voted," 4.03 avg rating — 43,253 ratings"
14,15,The Lathe of Heaven,Ursula K. Le Guin,"score: 7,775",84 people voted," 4.11 avg rating — 43,997 ratings"
15,16,Ancillary Justice (Imperial Radch #1),Ann Leckie,"score: 7,336",81 people voted," 3.98 avg rating — 66,215 ratings"
16,17,"Shards of Honour  (Vorkosigan Saga, #1)",Lois McMaster Bujold,"score: 7,017",75 people voted," 4.11 avg rating — 25,885 ratings"
17,18,"To Say Nothing of the Dog (Oxford Time Travel, #2)",Connie Willis,"score: 6,890",74 people voted," 4.13 avg rating — 29,643 ratings"
18,19,"The Sparrow (The Sparrow, #1)",Mary Doria Russell,"score: 6,873",72 people voted," 4.17 avg rating — 52,752 ratings"
19,20,"Dragonflight (Dragonriders of Pern, #1)",Anne McCaffrey,"score: 6,802",74 people voted," 4.10 avg rating — 116,161 ratings"
20,21,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"score: 6,653",71 people voted," 4.16 avg rating — 42,250 ratings"
21,22,"The Warrior's Apprentice (Vorkosigan Saga, #2)",Lois McMaster Bujold,"score: 6,087",65 people voted," 4.29 avg rating — 20,959 ratings"
22,23,"Barrayar (Vorkosigan Saga, #7)",Lois McMaster Bujold,"score: 5,623",60 people voted," 4.31 avg rating — 22,112 ratings"
23,24,"The Host (The Host, #1)",Stephenie Meyer,"score: 5,274",56 people voted," 3.84 avg rating — 829,008 ratings"
24,25,"Insurgent (Divergent, #2)",Veronica Roth,"score: 4,899",54 people voted," 4.05 avg rating — 1,045,868 ratings"
25,26,"Memory (Vorkosigan Saga, #10)",Lois McMaster Bujold,"score: 4,682",51 people voted," 4.45 avg rating — 13,950 ratings"
26,27,The Children of Men,P.D. James,"score: 4,484",49 people voted," 3.68 avg rating — 36,107 ratings"
27,28,"Starshine: Aurora Rising Book One (Aurora Rhapsody, #1)",G.S. Jennsen,"score: 4,394",45 people voted," 3.91 avg rating — 2,146 ratings"
28,29,"The Year of the Flood  (MaddAddam, #2)",Margaret Atwood,"score: 4,343",47 people voted," 4.06 avg rating — 92,234 ratings"
29,30,"Crystal Singer (Crystal Singer, #1)",Anne McCaffrey,"score: 4,235",47 people voted," 4.09 avg rating — 17,775 ratings"
30,31,"Mirror Dance (Vorkosigan Saga, #8)",Lois McMaster Bujold,"score: 4,120",47 people voted," 4.33 avg rating — 17,330 ratings"
31,32,"Lilith's Brood (Xenogenesis, #1-3)",Octavia E. Butler,"score: 4,108",47 people voted," 4.33 avg rating — 12,569 ratings"
32,33,"The Vor Game (Vorkosigan Saga, #6)",Lois McMaster Bujold,"score: 3,895",46 people voted," 4.28 avg rating — 18,977 ratings"
33,34,"Wild Seed (Patternmaster, #1)",Octavia E. Butler,"score: 3,842",43 people voted," 4.21 avg rating — 14,434 ratings"
34,35,"A Wind in the Door (Time Quintet, #2)",Madeleine L'Engle,"score: 3,700",42 people voted," 4.04 avg rating — 106,044 ratings"
35,36,"A Civil Campaign (Vorkosigan Saga, #12)",Lois McMaster Bujold,"score: 3,683",43 people voted," 4.43 avg rating — 14,496 ratings"
36,37,"Brothers in Arms (Vorkosigan Saga, #5)",Lois McMaster Bujold,"score: 3,653",43 people voted," 4.21 avg rating — 13,276 ratings"
37,38,"Cetaganda (Vorkosigan Saga, #9)",Lois McMaster Bujold,"score: 3,618",43 people voted," 4.17 avg rating — 14,831 ratings"
38,39,"The Snow Queen (The Snow Queen Cycle, #1)",Joan D. Vinge,"score: 3,535",43 people voted," 3.95 avg rating — 11,143 ratings"
39,40,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,"score: 3,440",38 people voted," 4.15 avg rating — 582,855 ratings"
40,41,"Downbelow Station (The Company Wars, #1)",C.J. Cherryh,"score: 3,381",40 people voted," 3.91 avg rating — 12,109 ratings"
41,42,"The Ship Who Sang (Brainship, #1)",Anne McCaffrey,"score: 3,361",39 people voted," 4.01 avg rating — 21,160 ratings"
42,43,"Dragon Dawn (Dinosaurian Time Travel, #1)",Deborah O'Neill Cordes,"score: 3,340",34 people voted, 3.81 avg rating — 194 ratings
43,44,"Dragonsong (Harper Hall, #1)",Anne McCaffrey,"score: 3,092",36 people voted," 4.25 avg rating — 43,819 ratings"
44,45,"Falling Free (Vorkosigan Saga, #4)",Lois McMaster Bujold,"score: 3,054",37 people voted," 3.83 avg rating — 16,014 ratings"
