,title,series,number_in_series,score,vote,number_of_ratings
0,The Handmaid's Tale,-,-,"30,733",314 people voted,"1,102,637"
1,The Hunger Games,The Hunger Games,1,"28,553",292 people voted,"5,742,248"
2,Frankenstein,-,-,"21,909",224 people voted,"1,023,526"
3,A Wrinkle in Time,Time Quintet,1,"18,720",196 people voted,"903,450"
4,The Left Hand of Darkness,Hainish Cycle ,4,"17,920",184 people voted,"98,806"
5,Divergent,Divergent,1,"13,326",138 people voted,"2,602,947"
6,Catching Fire,The Hunger Games,2,"12,749",133 people voted,"2,200,826"
7,The Giver,The Giver,1,"12,399",129 people voted,"1,535,252"
8,Kindred,-,-,"11,070",116 people voted,"72,352"
9,The Dispossessed,Hainish Cycle ,6,"10,731",112 people voted,"71,650"
10,Oryx and Crake,MaddAddam,1,"10,117",107 people voted,"197,813"
11,Mockingjay,The Hunger Games,3,"9,807",104 people voted,"2,072,072"
12,The Time Traveler's Wife,-,-,"9,193",98 people voted,"1,446,796"
13,Doomsday Book,Oxford Time Travel,1,"8,935",96 people voted,"43,253"
14,The Lathe of Heaven,-,-,"7,775",84 people voted,"43,997"
15,Ancillary Justice,Imperial Radch ,1,"7,336",81 people voted,"66,215"
16,Shards of Honour ,Vorkosigan Saga,1,"7,017",75 people voted,"25,885"
17,To Say Nothing of the Dog,Oxford Time Travel,2,"6,890",74 people voted,"29,643"
18,The Sparrow,The Sparrow,1,"6,873",72 people voted,"52,752"
19,Dragonflight,Dragonriders of Pern,1,"6,802",74 people voted,"116,161"
20,Parable of the Sower,Earthseed,1,"6,653",71 people voted,"42,250"
21,The Warrior's Apprentice,Vorkosigan Saga,2,"6,087",65 people voted,"20,959"
22,Barrayar,Vorkosigan Saga,7,"5,623",60 people voted,"22,112"
23,The Host,The Host,1,"5,274",56 people voted,"829,008"
24,Insurgent,Divergent,2,"4,899",54 people voted,"1,045,868"
25,Memory,Vorkosigan Saga,10,"4,682",51 people voted,"13,950"
26,The Children of Men,-,-,"4,484",49 people voted,"36,107"
27,Starshine: Aurora Rising Book One,Aurora Rhapsody,1,"4,394",45 people voted,"2,146"
28,The Year of the Flood ,MaddAddam,2,"4,343",47 people voted,"92,234"
29,Crystal Singer,Crystal Singer,1,"4,235",47 people voted,"17,775"
30,Mirror Dance,Vorkosigan Saga,8,"4,120",47 people voted,"17,330"
31,Lilith's Brood,Xenogenesis,1-3,"4,108",47 people voted,"12,569"
32,The Vor Game,Vorkosigan Saga,6,"3,895",46 people voted,"18,977"
